source_id,ra,dec,g,bp_rp
3496374584654896128,189.8761700913612,-26.736028462251138,18.821054,0.5151329
3496371457918012800,189.85716123931846,-26.773668045789393,18.797256,0.7785492
3496382483099989376,190.04106681338797,-26.77066099649437,19.34566,0.60674286
3496371969020445568,189.91486415890364,-26.737860811006048,17.33792,0.9576969
3496373038468497408,189.77741217612947,-26.795107145307668,16.641636,
3496374515934989440,189.84510245157983,-26.74767442634528,19.77354,0.5486965
3496358985335764736,190.0266693284461,-26.786716769807448,19.579699,
3496375233198407808,189.86734467825588,-26.707863189347517,18.74841,0.66854477
3496374584654897024,189.8765320819777,-26.736729433986056,19.701033,
3496374619016717952,189.85433869648173,-26.742654336413956,19.2754,
3496369666917474944,189.8523233172559,-26.815737765966418,19.963167,0.7281933
3496374550297258752,189.8635652314971,-26.737645068864758,17.99907,
3496369636854400384,189.8770720385661,-26.819179005286255,18.399466,0.73999405
3496374447215332736,189.8562715047773,-26.760797494176952,19.289621,0.5664654
3496374550297099648,189.86374136561304,-26.750477518179064,19.051222,
3496374619016717824,189.85270229734957,-26.742345311159056,18.788706,
3496423650363517312,189.78850168954165,-26.603510746803558,15.425937,2.0142221
3496427906673104256,189.7528540004849,-26.524371640830484,19.688532,2.1652813
3496375989108319744,189.78883889703036,-26.67840949810408,19.71915,0.7889919
3496374550297248768,189.85992659842645,-26.74131786746697,16.754667,0.83506966
3496371973316946176,189.9146654266234,-26.73272202184973,18.980911,
3496358740520661504,189.9995183760528,-26.82407565099826,18.919035,0.75774956
3496374584654896768,189.87689385550314,-26.73662600438258,19.718594,
3496374996971983104,189.89504596968328,-26.721263510141277,19.066977,0.5879078
3496373897461976704,189.76207006914444,-26.759977066025886,18.176977,0.82258224
3496374584655012736,189.8737926449185,-26.72935851476282,15.911752,
3496420695425620736,189.66470035483894,-26.75241292316694,17.293118,2.6166306
3496420970303542016,189.6401871768846,-26.726391802427184,19.815985,1.2156029
3496374619014477952,189.85285296878655,-26.74028361121415,19.526955,
3496421176462196480,189.72949190779994,-26.715617207054272,19.698349,0.7312412
3496374550294706688,189.86421498185248,-26.751649565283454,19.477558,
3496423508626544128,189.82839706046965,-26.60618367250259,17.153793,1.0637245
3496374550297082752,189.86819496818487,-26.746045842093206,18.470167,
3496369671214137984,189.85780475324808,-26.814755423791265,15.699873,1.0770063
3496374653374526080,189.8657159846375,-26.72514073620945,18.358257,0.6945858
3496374619014524928,189.85546782839117,-26.737854666329277,15.848042,1.0026121
3496373210267227776,189.80490522562698,-26.754703511009453,19.860373,
3496369877372568320,189.84891487584898,-26.812304232071963,19.270618,0.6294136
3496369976158349568,189.8479388050448,-26.784379055096657,19.708038,0.54870415
3496371423558274944,189.8806614379852,-26.77984789350126,18.806463,0.90345764
3496374515936345728,189.84428323863708,-26.742351099601834,19.605812,
3496372965452452352,189.80592552690956,-26.773503481374746,18.53198,0.6905556
3496374756455671936,189.8191328815458,-26.733684037274227,19.536942,0.5537834
3496374447215332096,189.847696545796,-26.758650131831583,18.434679,0.7943039
3496374584654946688,189.88233818189062,-26.73634486998172,18.45414,
3496374584655012480,189.8734651062638,-26.73059509516889,19.585476,
3496374928252506112,189.84754028603538,-26.70869935322596,19.944227,0.8606396
3496374584654787456,189.87699872405244,-26.74245557915199,19.764524,
3496371560998400256,189.90079363164162,-26.74910305381509,19.452883,0.48526382
3496371560997468544,189.89835659419936,-26.762371901635845,19.418879,0.76660156
3496396884127339264,190.09625582729697,-26.628724893311357,14.018421,0.89306736
3496423714784973184,189.77506549520137,-26.605995882779403,19.368647,2.3846645
3496375542432924928,189.81128873265254,-26.713022741860577,19.216728,0.6371441
3496399422451203200,189.95500262742715,-26.629261795321316,19.163128,0.6582699
3496371629717288832,189.87939759041055,-26.74364381273952,18.62837,0.62207603
3496371664076683520,189.93446922519556,-26.772030425099377,19.35857,
3496374584656907264,189.87437630524425,-26.740495727365058,18.006517,
3496374653374489984,189.87090413371024,-26.7295218245662,19.47055,0.73462486
3496372763590586624,189.7967353346981,-26.807874379675166,17.261559,1.5660458
3496374786518993536,189.82882905300698,-26.725156692366674,18.850286,0.6493416
3496374619016733696,189.86085945586683,-26.734234583505156,19.098991,
3496375237490152320,189.86679852098024,-26.71318342096959,19.126173,0.64422417
3496371595357310976,189.88121120643348,-26.756748036534482,17.035173,0.9727783
3496371629717877248,189.89565415355574,-26.747716842932608,19.691772,
3496423066247921408,189.72465902045462,-26.66061812638102,19.174204,2.5920887
3496374825173130496,189.83824537212803,-26.723919991527186,19.656574,0.8616867
3496358469939435136,190.02893192334682,-26.85100664021601,17.414476,1.9859772
3496371595357158144,189.87500830375978,-26.758428157974738,19.028816,
