SourceId,ra,dec,G
   3496375340569421696, 189.86690, -26.69081,  19.726
   3496374515934891776, 189.84283, -26.75181,  18.274
   3496371595357393280, 189.87666, -26.75029,  15.641
   3496375954748587392, 189.81932, -26.67301,  18.686
   3496375679873693568, 189.83596, -26.68973,  19.971
   3496397498305850880, 190.05829, -26.63810,  19.050
   3496369082801844992, 189.83042, -26.86074,  18.520
   3496372931093307648, 189.84065, -26.77606,  17.375
   3496376126547279104, 189.82916, -26.67294,  19.580
   3496374550297247488, 189.86030, -26.74116,  17.943
   3496374515935890176, 189.84547, -26.74263,  19.241
   3496374515934891648, 189.84298, -26.75165,  19.292
   3496369705573883136, 189.87457, -26.80786,  19.641
   3496369946092051840, 189.83952, -26.79852,  19.493
   3496375031331711360, 189.88103, -26.71987,  18.575
   3496371664077606656, 189.92689, -26.76353,  19.301
   3496369288960283392, 189.77643, -26.85422,  18.991
   3496374550297158272, 189.87073, -26.74357,  17.192
   3496376332705719040, 189.82024, -26.66322,  18.542
   3496421240883726208, 189.72139, -26.70381,  18.463
   3496373725663272576, 189.71272, -26.76468,  19.669
   3496375679872072064, 189.83935, -26.69573,  17.784
   3496421653200627712, 189.71474, -26.65957,  19.728
   3496374584656897408, 189.87182, -26.73743,  19.066
   3496371457918002432, 189.85037, -26.77468,  19.406
   3496372042036433024, 189.91323, -26.72298,  16.518
   3496374619016752256, 189.84592, -26.73674,  18.845
   3496374584654886784, 189.88177, -26.73973,  17.452
   3496374447215387776, 189.85934, -26.75778,  18.790
   3496374550297072384, 189.87084, -26.74585,  15.653
   3496375542433112064, 189.81605, -26.71116,  18.955
   3496371526637545216, 189.89068, -26.77306,  18.747
   3496369911732312960, 189.85398, -26.80272,  19.662
   3496371354838963456, 189.90016, -26.76689,  19.703
   3496355755517464192, 189.89074, -26.96558,  19.541
   3496371492277805184, 189.86104, -26.76522,  18.161
   3496366574540943360, 189.70993, -26.85838,  19.296
   3496367742771049600, 189.66079, -26.80290,  19.254
   3496374786520469888, 189.82057, -26.73064,  19.550
   3496375679870664704, 189.83248, -26.69060,  19.886
   3496372896732964480, 189.82016, -26.78154,  19.858
   3496370079236636288, 189.91512, -26.84459,  19.318
   3496370358408911488, 189.90015, -26.81519,  18.610
   3496374722095967616, 189.82985, -26.73245,  18.756
