#NUMBER OF AGES= 1 MAGS= 3
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2466 9.5084E-04 9.5084E-04  -1.24   0.00 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: Gaia DR2 Revised (Vega)
#----------------------------------------------------       
#AGE=11.100 EEPS=268
#EEP   M/Mo    LogTeff  LogG   LogL/Lo  Gaia_G Gaia_BP Gaia_RP
 209  0.845953  3.7182  2.9021  1.2895  1.5008  1.8743  0.9592
 210  0.846091  3.7174  2.8754  1.3131  1.4431  1.8184  0.9000
 211  0.846225  3.7166  2.8482  1.3369  1.3847  1.7620  0.8399
 212  0.846354  3.7157  2.8208  1.3611  1.3258  1.7049  0.7791
 213  0.846480  3.7149  2.7930  1.3855  1.2661  1.6474  0.7177
 214  0.846600  3.7139  2.7646  1.4101  1.2062  1.5895  0.6558
 215  0.846716  3.7130  2.7360  1.4350  1.1456  1.5311  0.5933
 216  0.846827  3.7121  2.7074  1.4601  1.0844  1.4719  0.5301
 217  0.846846  3.7119  2.7021  1.4646  1.0734  1.4614  0.5188
 218  0.846866  3.7117  2.6969  1.4691  1.0625  1.4508  0.5074
 219  0.846885  3.7115  2.6918  1.4736  1.0513  1.4401  0.4959
 220  0.846904  3.7114  2.6865  1.4782  1.0401  1.4293  0.4844
 221  0.846923  3.7112  2.6812  1.4828  1.0290  1.4185  0.4729
 222  0.846942  3.7110  2.6759  1.4874  1.0178  1.4077  0.4614
 223  0.846961  3.7108  2.6705  1.4921  1.0064  1.3969  0.4497
 224  0.846980  3.7107  2.6652  1.4968  0.9951  1.3861  0.4380
 225  0.846999  3.7104  2.6597  1.5014  0.9838  1.3752  0.4262
 226  0.847018  3.7102  2.6543  1.5061  0.9724  1.3642  0.4144
 227  0.847195  3.7084  2.6003  1.5530  0.8587  1.2548  0.2968
 228  0.847353  3.7066  2.5472  1.5987  0.7476  1.1483  0.1819
 229  0.847502  3.7045  2.4917  1.6462  0.6331  1.0389  0.0629
 230  0.847633  3.7025  2.4357  1.6938  0.5183  0.9296 -0.0565
 231  0.847750  3.7001  2.3779  1.7423  0.4023  0.8200 -0.1779
 232  0.847858  3.6981  2.3274  1.7846  0.3003  0.7234 -0.2844
