SourceId,ra,dec,G
   5413903720827822208, 155.12315, -46.18248,  19.107
   5413895165252702464, 155.03317, -46.33798,  19.268
   5413908741649860096, 154.76789, -46.27167,  18.822
   5413907435979802240, 154.89623, -46.33288,  18.159
   5413911696587358848, 154.75286, -46.27561,  19.450
   5413913105331809536, 154.64192, -46.17511,  19.508
   5413910047319948416, 154.96597, -46.20539,  16.315
   5413897918332299520, 154.97920, -46.23819,  18.065
   5413907676497969664, 154.84223, -46.31955,  19.316
   5413913272834160768, 154.63499, -46.15173,  19.992
   5413913272834160896, 154.64631, -46.15104,  19.950
   5413891110803445376, 155.07019, -46.47509,  19.288
   5413896681378208512, 155.04017, -46.31045,  17.874
   5413908874788451968, 154.78634, -46.25337,  17.920
   5413890904645013504, 155.08669, -46.47795,  18.440
   5413908325032651520, 154.87222, -46.24502,  19.291
   5413911589208041984, 154.87404, -46.10542,  18.863
   5413907642138230272, 154.83766, -46.32146,  18.163
   5413911834026317568, 154.75468, -46.24240,  14.877
   5413895577570541184, 154.90300, -46.35748,  19.647
   5413910906309262464, 154.84204, -46.17060,  19.468
   5413910146098889600, 154.95363, -46.18817,  19.799
   5413897707873434624, 154.99271, -46.27871,  19.282
   5413896612658727424, 155.04571, -46.32316,  19.218
   5413910936372879232, 154.82150, -46.18504,  19.102
   5413898021408037888, 155.02075, -46.25528,  19.820
   5413890389248933120, 155.19658, -46.48428,  19.942
   5413912830453894400, 154.67832, -46.20419,  19.205
   5413891213882683648, 155.07026, -46.44967,  17.957
   5413892730008866304, 155.20715, -46.38643,  19.775
   5413890835925530240, 155.09896, -46.48812,  17.107
   5413911726646728960, 154.75420, -46.25757,  19.139
   5413901388666102784, 155.36274, -46.19649,  19.377
   5413890870285267968, 155.08011, -46.49106,  18.644
   5413890805866687104, 155.09034, -46.50997,  17.006
   5413912791797816704, 154.68724, -46.22097,  19.861
   5413913002252610688, 154.67602, -46.17121,  19.738
   5413905541894082688, 155.17223, -46.10673,  18.835
   5413909252745627008, 154.81716, -46.23183,  19.603
